business_id,name,city,state,categories,food,service,price,amb,cluster,n_reviews_sample,n_users_sample,cover_food_frac,cover_service_frac,cover_price_frac,cover_amb_frac,stars,review_count,food_z,service_z,price_z,amb_z
uYMVRPYEqpmVXWN2xOs5KQ,Cooper's Hawk Winery & Restaurants - Tampa,Tampa,FL,"Event Planning & Services, American (Traditional), Nightlife, Restaurants, Bars, Wineries, American (New), Wine Tasting Room, Gluten-Free, Arts & Entertainment, Party & Event Planning, Wine Bars, Food, Seafood",0.5421686202727715,0.29051195939443886,0.1022138953946682,0.07842429190113333,4,29,24,0.5862068965517241,0.3793103448275862,0.13793103448275862,0.1724137931034483,4.0,1154,0.350067188374258,-0.2670886865825969,-2.3877177732159873E-4,-0.5095859349463304
eaDZlSuVS0EY67Ke6pRP6Q,Penang,Philadelphia,PA,"Malaysian, Asian Fusion, Cambodian, Chinese, Restaurants, Thai",0.5020616470605804,0.29705578728832965,0.11261733978580916,0.047384351568099364,5,19,19,0.5789473684210527,0.42105263157894735,0.15789473684210525,0.21052631578947367,3.5,1112,0.14523118351211947,-0.23154833681498144,0.09706715295931186,-0.7550894124011878
3iUCCf1FWmjlFbGYvBgf9w,Martin's Bar-B-Que Joint,Nashville,TN,"Restaurants, Barbeque, Nightlife, Bars, Pubs, Chicken Wings, American (Traditional)",0.6147832993392213,0.2264771714078093,0.05556226279856448,0.15439521030447884,1,42,42,0.6666666666666666,0.40476190476190477,0.07142857142857142,0.16666666666666666,4.0,2221,0.7209279031837407,-0.6148696489249256,-0.4365827439816745,0.09128908135037493
x5NLYIRLdhFBaNLLvl8Afg,Bar Louie - Tampa,Tampa,FL,"Cocktail Bars, American (New), Restaurants, Burgers, Nightlife, Bars, Gastropubs, Pubs, Sports Bars",0.43773562183314657,0.22854299581212054,0.16022446220027672,-0.0319184456264471,5,13,10,0.5384615384615384,0.46153846153846156,0.15384615384615385,0.15384615384615385,4.0,451,-0.18329737301938126,-0.6036498975686527,0.5423480519022268,-1.3823171800537772
9w6o_eyKCSNKgMtAuv6KWg,One Shot Coffee,Philadelphia,PA,"Restaurants, Patisserie/Cake Shop, Cafes, Breakfast & Brunch, Coffee & Tea, Food, American (Traditional)",0.5350025478784745,0.34928117993976954,0.0,0.2598066976891307,1,13,13,0.46153846153846156,0.38461538461538464,0.0,0.46153846153846156,4.0,498,0.31346832482914055,0.052094318780539065,-0.956269989744058,0.9250177045036706
iJJdgwK4wrX8-PjKZzOEvQ,New Orleans Food and Spirits,Metairie,LA,"Sandwiches, Restaurants, Salad, Seafood",0.4533594622249538,-0.1253378486972591,0.07883539739957822,0.0,0,11,11,0.6363636363636364,0.2727272727272727,0.09090909090909091,0.0,4.0,443,-0.10350264431896847,-2.525621134260896,-0.21890350249890073,-1.129865361133653
0Xm1wedwnMJ1iKXz8vUDSw,The Canyon's Crown,Tucson,AZ,"Sports Bars, Bars, British, Restaurants, Pubs, Fish & Chips, Nightlife",0.31609890934482104,0.5204173605609922,0.06886947870778633,0.14641959043647781,4,11,11,0.45454545454545453,0.7272727272727273,0.09090909090909091,0.36363636363636365,4.0,304,-0.8045254596878557,0.9815563730699467,-0.3121171438368304,0.028207696803753447
DpDdhCvjjmjUJxPleSbDhg,Lucky Lobster,Dunedin,FL,"American (Traditional), Seafood, Restaurants, Burgers, Pizza",0.7434297384735817,0.16608748256532246,0.031614507417073175,0.30651043013722745,1,13,13,0.7692307692307693,0.5384615384615384,0.07692307692307693,0.3076923076923077,4.0,491,1.3779563578768217,-0.9428536207868945,-0.6605718763450895,1.2944104482753624
60PRpOidld9weYzjWwlMaQ,Meals From The Heart Cafe,New Orleans,LA,"Gluten-Free, American (New), Vegan, Food, Restaurants, Breakfast & Brunch",0.6265806040501051,0.2072420675222579,0.10069613632548165,0.0,5,12,12,0.6666666666666666,0.25,0.16666666666666666,0.0,4.5,819,0.7811795894013432,-0.7193379098562885,-0.014434738440090722,-1.129865361133653
Xf7j8TdmcFpiThqW9UMziA,Arni's,Indianapolis,IN,"Salad, Italian, Sandwiches, American (Traditional), Restaurants, Pizza",0.4451587463745948,0.3578928093532919,-0.034135340337984425,0.0,4,11,8,0.6363636363636364,0.2727272727272727,0.18181818181818182,0.0,4.0,293,-0.14538568203687238,0.09886515786562589,-1.2755460614858127,-1.129865361133653
89SD5fNDDnJj-ITB40hLsQ,King & I Thai,Saint Louis,MO,"Thai, Restaurants",0.15656973342559444,0.21555154421143474,0.08946133025034815,0.09452476194271832,0,13,10,0.3076923076923077,0.23076923076923078,0.07692307692307693,0.07692307692307693,4.0,471,-1.6192795145839993,-0.6742081001015272,-0.11951658953438177,-0.38224286207127656
tt3NK-Y_Q3qFRDHVLpKTHw,Elevage,Tampa,FL,"American (New), Cocktail Bars, Salad, Breakfast & Brunch, Bars, Nightlife, Restaurants, Hotels & Travel",0.4686591608793539,0.758566931228123,0.04372391623930448,-0.015241396791161725,4,11,10,0.7272727272727273,0.7272727272727273,0.09090909090909091,0.18181818181818182,4.0,344,-0.025363385806951237,2.274976550947646,-0.5473096548000252,-1.250413785948675
JcdsERaKlWNY9CT5Tl8LvA,Victory Brewing Company Downingtown,Downingtown,PA,"Brewpubs, Restaurants, Food, American (Traditional), Breweries",0.7654175416815042,0.3116848828688172,0.23212470990039685,0.19327789046579866,3,15,15,0.6666666666666666,0.3333333333333333,0.3333333333333333,0.2,4.0,592,1.4902533826604505,-0.15209588449731037,1.214848411226577,0.39882295834723075
mBgaPljP3OYkl_vGKTyFNw,LaScala's Birra,Philadelphia,PA,"Bars, Nightlife, Restaurants, Pizza, Beer Bar, Italian",0.6074639370428594,0.3390100783363843,0.15748750983272644,0.23425837779611922,1,12,12,0.6666666666666666,0.25,0.16666666666666666,0.25,4.0,383,0.683546151063149,-0.003689321835043259,0.5167486762462773,0.722948972748143
